c,p,x
http://purl.obolibrary.org/obo/MICRO_0001531,http://purl.obolibrary.org/obo/definition, A prokaryotic metabolic process where the organism grows in the presence of oxygen.
http://purl.obolibrary.org/obo/MICRO_0000164,http://purl.obolibrary.org/obo/definition,Organic compounds or mixtures of organic compounds added to culture media to support growth or metabolism of a microorganism. 
